Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Wide Receiver,2014,6,20,distance,l2,575.08098883,549.0
Wide Receiver,2014,7,20,distance,l2,533.0141904,443.0
Wide Receiver,2014,8,20,distance,l2,517.53553332,493.0
Wide Receiver,2014,9,20,distance,l2,428.06357837,406.0
Wide Receiver,2014,10,20,distance,l2,458.03475946,396.0
Wide Receiver,2014,2,30,distance,l2,481.06525846,460.0
Wide Receiver,2014,3,30,distance,l2,504.97526784,505.0
Wide Receiver,2014,4,30,distance,l2,328.0944483,384.0
Wide Receiver,2014,5,30,distance,l2,504.74197008,521.0
Wide Receiver,2014,6,30,distance,l2,569.21183299,549.0
Wide Receiver,2014,7,30,distance,l2,527.83280082,443.0
Wide Receiver,2014,8,30,distance,l2,510.86329515,493.0
Wide Receiver,2014,9,30,distance,l2,422.13712448,406.0
Wide Receiver,2014,10,30,distance,l2,473.42290307,396.0
Wide Receiver,2014,2,40,distance,l2,489.70850199,460.0
Wide Receiver,2014,3,40,distance,l2,509.06905805,505.0
Wide Receiver,2014,4,40,distance,l2,330.18183498,384.0
Wide Receiver,2014,5,40,distance,l2,499.50695495,521.0
Wide Receiver,2014,6,40,distance,l2,570.47234806,549.0
Wide Receiver,2014,7,40,distance,l2,538.01116258,443.0
Wide Receiver,2014,8,40,distance,l2,529.50908602,493.0
Wide Receiver,2014,9,40,distance,l2,427.91980005,406.0
Wide Receiver,2014,10,40,distance,l2,476.85688004,396.0
Wide Receiver,2014,2,50,distance,l2,492.72733192,460.0
Wide Receiver,2014,3,50,distance,l2,509.78041757,505.0
Wide Receiver,2014,4,50,distance,l2,328.17982338,384.0
Wide Receiver,2014,5,50,distance,l2,501.00620562,521.0
Wide Receiver,2014,6,50,distance,l2,563.45265454,549.0
Wide Receiver,2014,7,50,distance,l2,540.3793253,443.0
Wide Receiver,2014,8,50,distance,l2,536.86400602,493.0
Wide Receiver,2014,9,50,distance,l2,432.04900932,406.0
Wide Receiver,2014,10,50,distance,l2,471.49531253,396.0
Wide Receiver,2014,2,60,distance,l2,497.01382564,460.0
Wide Receiver,2014,3,60,distance,l2,513.23224183,505.0
Wide Receiver,2014,4,60,distance,l2,328.45199061,384.0
Wide Receiver,2014,5,60,distance,l2,498.18336996,521.0
Wide Receiver,2014,6,60,distance,l2,567.48650029,549.0
Wide Receiver,2014,7,60,distance,l2,540.3647053,443.0
Wide Receiver,2014,8,60,distance,l2,537.40359027,493.0
Wide Receiver,2014,9,60,distance,l2,433.70196462,406.0
Wide Receiver,2014,10,60,distance,l2,472.28758025,396.0
Wide Receiver,2014,2,70,distance,l2,499.51132379,460.0
Wide Receiver,2014,3,70,distance,l2,511.66230832,505.0
Wide Receiver,2014,4,70,distance,l2,326.10909934,384.0
Wide Receiver,2014,5,70,distance,l2,493.95833082,521.0
Wide Receiver,2014,6,70,distance,l2,567.59062022,549.0
Wide Receiver,2014,7,70,distance,l2,541.07109958,443.0
Wide Receiver,2014,8,70,distance,l2,535.9079683,493.0
Wide Receiver,2014,9,70,distance,l2,433.62079799,406.0
Wide Receiver,2014,10,70,distance,l2,471.250561,396.0
Wide Receiver,2014,2,80,distance,l2,500.50167104,460.0
Wide Receiver,2014,3,80,distance,l2,515.06888546,505.0
Wide Receiver,2014,4,80,distance,l2,324.25633923,384.0
Wide Receiver,2014,5,80,distance,l2,494.25650513,521.0
Wide Receiver,2014,6,80,distance,l2,571.56281002,549.0
Wide Receiver,2014,7,80,distance,l2,542.82262024,443.0
Wide Receiver,2014,8,80,distance,l2,536.9926719,493.0
Wide Receiver,2014,9,80,distance,l2,435.48293197,406.0
Wide Receiver,2014,10,80,distance,l2,470.55324304,396.0
Wide Receiver,2014,2,90,distance,l2,503.28616182,460.0
Wide Receiver,2014,3,90,distance,l2,511.30374553,505.0
Wide Receiver,2014,4,90,distance,l2,326.9320225,384.0
Wide Receiver,2014,5,90,distance,l2,495.51782645,521.0
Wide Receiver,2014,6,90,distance,l2,577.06412921,549.0
Wide Receiver,2014,7,90,distance,l2,544.45136763,443.0
Wide Receiver,2014,8,90,distance,l2,533.74106488,493.0
Wide Receiver,2014,9,90,distance,l2,435.46230558,406.0
Wide Receiver,2014,10,90,distance,l2,468.69439075,396.0
Wide Receiver,2014,2,100,distance,l2,505.31774922,460.0
Wide Receiver,2014,3,100,distance,l2,512.51934381,505.0
Wide Receiver,2014,4,100,distance,l2,325.76163379,384.0
Wide Receiver,2014,5,100,distance,l2,496.32847808,521.0
Wide Receiver,2014,6,100,distance,l2,576.46861115,549.0
Wide Receiver,2014,7,100,distance,l2,544.36162499,443.0
Wide Receiver,2014,8,100,distance,l2,530.60244001,493.0
Wide Receiver,2014,9,100,distance,l2,437.40953489,406.0
Wide Receiver,2014,10,100,distance,l2,467.97551268,396.0
Wide Receiver,2014,2,110,distance,l2,506.90088284,460.0
Wide Receiver,2014,3,110,distance,l2,515.7132202,505.0
Wide Receiver,2014,4,110,distance,l2,325.85494038,384.0
Wide Receiver,2014,5,110,distance,l2,496.78821221,521.0
Wide Receiver,2014,6,110,distance,l2,573.23694118,549.0
Wide Receiver,2014,7,110,distance,l2,542.71712928,443.0
Wide Receiver,2014,8,110,distance,l2,529.93255249,493.0
Wide Receiver,2014,9,110,distance,l2,436.52741038,406.0
Wide Receiver,2014,10,110,distance,l2,468.09636884,396.0
Wide Receiver,2014,2,120,distance,l2,508.37236098,460.0
Wide Receiver,2014,3,120,distance,l2,516.57491617,505.0
Wide Receiver,2014,4,120,distance,l2,325.87871818,384.0
Wide Receiver,2014,5,120,distance,l2,494.73149565,521.0
Wide Receiver,2014,6,120,distance,l2,573.64369405,549.0
Wide Receiver,2014,7,120,distance,l2,544.13112206,443.0
Wide Receiver,2014,8,120,distance,l2,530.21811909,493.0
Wide Receiver,2014,9,120,distance,l2,437.8415955,406.0
Wide Receiver,2014,10,120,distance,l2,467.48457962,396.0
Wide Receiver,2014,2,130,distance,l2,510.98192328,460.0
Wide Receiver,2014,3,130,distance,l2,516.65085353,505.0
Wide Receiver,2014,4,130,distance,l2,326.45678424,384.0
Wide Receiver,2014,5,130,distance,l2,496.71937425,521.0
Wide Receiver,2014,6,130,distance,l2,571.82642786,549.0
Wide Receiver,2014,7,130,distance,l2,543.89984127,443.0
Wide Receiver,2014,8,130,distance,l2,532.78479952,493.0
Wide Receiver,2014,9,130,distance,l2,436.49331195,406.0
Wide Receiver,2014,10,130,distance,l2,468.34317428,396.0
Wide Receiver,2014,2,140,distance,l2,514.11666907,460.0
Wide Receiver,2014,3,140,distance,l2,519.574016,505.0
Wide Receiver,2014,4,140,distance,l2,327.77847124,384.0
Wide Receiver,2014,5,140,distance,l2,497.68953738,521.0
Wide Receiver,2014,6,140,distance,l2,573.10019891,549.0
Wide Receiver,2014,7,140,distance,l2,543.64752898,443.0
Wide Receiver,2014,8,140,distance,l2,534.77772552,493.0
Wide Receiver,2014,9,140,distance,l2,435.78494182,406.0
Wide Receiver,2014,10,140,distance,l2,468.61837468,396.0
Wide Receiver,2014,2,150,distance,l2,515.2609151,460.0
Wide Receiver,2014,3,150,distance,l2,519.93085416,505.0
Wide Receiver,2014,4,150,distance,l2,328.07162922,384.0
Wide Receiver,2014,5,150,distance,l2,498.29034492,521.0
Wide Receiver,2014,6,150,distance,l2,572.38855269,549.0
Wide Receiver,2014,7,150,distance,l2,542.37466649,443.0
Wide Receiver,2014,8,150,distance,l2,536.39017703,493.0
