Position,Year,Week,Kernel,C,Epsilon,Degree,Gamma,Coef0,Probability,Shrinking,Norm,Computed Error,ESPN Error
Wide Receiver,2014,8,linear,1.0,0.1,3,0.0,0.0,False,True,l1,500.76276851,493.0
Wide Receiver,2014,9,linear,1.0,0.1,3,0.0,0.0,False,True,l1,394.66329681,406.0
Wide Receiver,2014,10,linear,1.0,0.1,3,0.0,0.0,False,True,l1,422.59883824,396.0
Wide Receiver,2014,2,poly,1.0,0.1,3,0.0,0.0,False,True,l1,498.21767379,460.0
Wide Receiver,2014,3,poly,1.0,0.1,3,0.0,0.0,False,True,l1,615.17082681,505.0
Wide Receiver,2014,4,poly,1.0,0.1,3,0.0,0.0,False,True,l1,470.96850885,384.0
Wide Receiver,2014,5,poly,1.0,0.1,3,0.0,0.0,False,True,l1,521.32083669,521.0
Wide Receiver,2014,6,poly,1.0,0.1,3,0.0,0.0,False,True,l1,633.35476037,549.0
Wide Receiver,2014,7,poly,1.0,0.1,3,0.0,0.0,False,True,l1,567.94871761,443.0
Wide Receiver,2014,8,poly,1.0,0.1,3,0.0,0.0,False,True,l1,601.8425691,493.0
Wide Receiver,2014,9,poly,1.0,0.1,3,0.0,0.0,False,True,l1,466.71181468,406.0
Wide Receiver,2014,10,poly,1.0,0.1,3,0.0,0.0,False,True,l1,481.73123183,396.0
Wide Receiver,2014,2,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l1,515.,460.0
Wide Receiver,2014,3,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l1,644.8,505.0
Wide Receiver,2014,4,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l1,484.6,384.0
Wide Receiver,2014,5,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l1,554.5,521.0
Wide Receiver,2014,6,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l1,672.,549.0
Wide Receiver,2014,7,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l1,613.4,443.0
Wide Receiver,2014,8,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l1,647.3,493.0
Wide Receiver,2014,9,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l1,504.,406.0
Wide Receiver,2014,10,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l1,528.4,396.0
Wide Receiver,2014,2,rbf,1.0,0.1,3,0.0,0.0,False,True,l1,440.10508288,460.0
Wide Receiver,2014,3,rbf,1.0,0.1,3,0.0,0.0,False,True,l1,488.58387108,505.0
Wide Receiver,2014,4,rbf,1.0,0.1,3,0.0,0.0,False,True,l1,378.20204136,384.0
Wide Receiver,2014,5,rbf,1.0,0.1,3,0.0,0.0,False,True,l1,457.80208627,521.0
Wide Receiver,2014,6,rbf,1.0,0.1,3,0.0,0.0,False,True,l1,535.70253885,549.0
Wide Receiver,2014,7,rbf,1.0,0.1,3,0.0,0.0,False,True,l1,483.64923923,443.0
Wide Receiver,2014,8,rbf,1.0,0.1,3,0.0,0.0,False,True,l1,501.04117409,493.0
Wide Receiver,2014,9,rbf,1.0,0.1,3,0.0,0.0,False,True,l1,393.83308923,406.0
Wide Receiver,2014,10,rbf,1.0,0.1,3,0.0,0.0,False,True,l1,421.17813054,396.0
Wide Receiver,2014,2,rbf,1.0,0.1,3,0.0,0.0,False,True,l2,441.86394579,460.0
Wide Receiver,2014,3,rbf,1.0,0.1,3,0.0,0.0,False,True,l2,478.69526022,505.0
Wide Receiver,2014,4,rbf,1.0,0.1,3,0.0,0.0,False,True,l2,372.59863436,384.0
Wide Receiver,2014,5,rbf,1.0,0.1,3,0.0,0.0,False,True,l2,454.13051623,521.0
Wide Receiver,2014,6,rbf,1.0,0.1,3,0.0,0.0,False,True,l2,528.40435017,549.0
Wide Receiver,2014,7,rbf,1.0,0.1,3,0.0,0.0,False,True,l2,479.84453188,443.0
Wide Receiver,2014,8,rbf,1.0,0.1,3,0.0,0.0,False,True,l2,495.62909276,493.0
Wide Receiver,2014,9,rbf,1.0,0.1,3,0.0,0.0,False,True,l2,387.32669465,406.0
Wide Receiver,2014,10,rbf,1.0,0.1,3,0.0,0.0,False,True,l2,413.65102614,396.0
Wide Receiver,2014,2,rbf,0.5,0.1,3,0.0,0.0,False,True,l2,437.92681328,460.0
Wide Receiver,2014,3,rbf,0.5,0.1,3,0.0,0.0,False,True,l2,484.14484422,505.0
Wide Receiver,2014,4,rbf,0.5,0.1,3,0.0,0.0,False,True,l2,378.03856145,384.0
Wide Receiver,2014,5,rbf,0.5,0.1,3,0.0,0.0,False,True,l2,455.5103211,521.0
Wide Receiver,2014,6,rbf,0.5,0.1,3,0.0,0.0,False,True,l2,531.26787887,549.0
Wide Receiver,2014,7,rbf,0.5,0.1,3,0.0,0.0,False,True,l2,480.24572635,443.0
Wide Receiver,2014,8,rbf,0.5,0.1,3,0.0,0.0,False,True,l2,498.79080537,493.0
Wide Receiver,2014,9,rbf,0.5,0.1,3,0.0,0.0,False,True,l2,389.34445365,406.0
Wide Receiver,2014,10,rbf,0.5,0.1,3,0.0,0.0,False,True,l2,415.70376543,396.0
Wide Receiver,2014,2,rbf,0.75,0.1,3,0.0,0.0,False,True,l2,440.00039301,460.0
Wide Receiver,2014,3,rbf,0.75,0.1,3,0.0,0.0,False,True,l2,480.80451168,505.0
Wide Receiver,2014,4,rbf,0.75,0.1,3,0.0,0.0,False,True,l2,375.124057,384.0
Wide Receiver,2014,5,rbf,0.75,0.1,3,0.0,0.0,False,True,l2,454.46975741,521.0
Wide Receiver,2014,6,rbf,0.75,0.1,3,0.0,0.0,False,True,l2,529.26197929,549.0
Wide Receiver,2014,7,rbf,0.75,0.1,3,0.0,0.0,False,True,l2,479.94016298,443.0
Wide Receiver,2014,8,rbf,0.75,0.1,3,0.0,0.0,False,True,l2,496.81117045,493.0
Wide Receiver,2014,9,rbf,0.75,0.1,3,0.0,0.0,False,True,l2,388.15838612,406.0
Wide Receiver,2014,10,rbf,0.75,0.1,3,0.0,0.0,False,True,l2,414.48602579,396.0
Wide Receiver,2014,2,rbf,1.25,0.1,3,0.0,0.0,False,True,l2,442.80116237,460.0
Wide Receiver,2014,3,rbf,1.25,0.1,3,0.0,0.0,False,True,l2,477.59576724,505.0
Wide Receiver,2014,4,rbf,1.25,0.1,3,0.0,0.0,False,True,l2,371.50243996,384.0
Wide Receiver,2014,5,rbf,1.25,0.1,3,0.0,0.0,False,True,l2,453.86676253,521.0
Wide Receiver,2014,6,rbf,1.25,0.1,3,0.0,0.0,False,True,l2,527.72482151,549.0
Wide Receiver,2014,7,rbf,1.25,0.1,3,0.0,0.0,False,True,l2,479.73484465,443.0
Wide Receiver,2014,8,rbf,1.25,0.1,3,0.0,0.0,False,True,l2,494.61374458,493.0
Wide Receiver,2014,9,rbf,1.25,0.1,3,0.0,0.0,False,True,l2,386.73740545,406.0
Wide Receiver,2014,10,rbf,1.25,0.1,3,0.0,0.0,False,True,l2,413.26689786,396.0
Wide Receiver,2014,2,rbf,1.5,0.1,3,0.0,0.0,False,True,l2,444.22016823,460.0
Wide Receiver,2014,3,rbf,1.5,0.1,3,0.0,0.0,False,True,l2,476.84338089,505.0
Wide Receiver,2014,4,rbf,1.5,0.1,3,0.0,0.0,False,True,l2,370.57198791,384.0
Wide Receiver,2014,5,rbf,1.5,0.1,3,0.0,0.0,False,True,l2,453.38043903,521.0
Wide Receiver,2014,6,rbf,1.5,0.1,3,0.0,0.0,False,True,l2,527.09678722,549.0
Wide Receiver,2014,7,rbf,1.5,0.1,3,0.0,0.0,False,True,l2,479.60815011,443.0
Wide Receiver,2014,8,rbf,1.5,0.1,3,0.0,0.0,False,True,l2,493.81627347,493.0
Wide Receiver,2014,9,rbf,1.5,0.1,3,0.0,0.0,False,True,l2,386.2108381,406.0
Wide Receiver,2014,10,rbf,1.5,0.1,3,0.0,0.0,False,True,l2,412.88388664,396.0
Wide Receiver,2014,2,rbf,1.75,0.1,3,0.0,0.0,False,True,l2,444.57917724,460.0
Wide Receiver,2014,3,rbf,1.75,0.1,3,0.0,0.0,False,True,l2,476.07678779,505.0
Wide Receiver,2014,4,rbf,1.75,0.1,3,0.0,0.0,False,True,l2,370.05276459,384.0
Wide Receiver,2014,5,rbf,1.75,0.1,3,0.0,0.0,False,True,l2,453.01537128,521.0
Wide Receiver,2014,6,rbf,1.75,0.1,3,0.0,0.0,False,True,l2,526.65822795,549.0
Wide Receiver,2014,7,rbf,1.75,0.1,3,0.0,0.0,False,True,l2,479.49674562,443.0
Wide Receiver,2014,8,rbf,1.75,0.1,3,0.0,0.0,False,True,l2,493.11304592,493.0
Wide Receiver,2014,9,rbf,1.75,0.1,3,0.0,0.0,False,True,l2,385.8545797,406.0
Wide Receiver,2014,10,rbf,1.75,0.1,3,0.0,0.0,False,True,l2,412.57218349,396.0
Wide Receiver,2014,2,rbf,2.0,0.1,3,0.0,0.0,False,True,l2,445.15830873,460.0
Wide Receiver,2014,3,rbf,2.0,0.1,3,0.0,0.0,False,True,l2,475.68563764,505.0
Wide Receiver,2014,4,rbf,2.0,0.1,3,0.0,0.0,False,True,l2,369.74057194,384.0
Wide Receiver,2014,5,rbf,2.0,0.1,3,0.0,0.0,False,True,l2,452.69503712,521.0
Wide Receiver,2014,6,rbf,2.0,0.1,3,0.0,0.0,False,True,l2,526.48447607,549.0
Wide Receiver,2014,7,rbf,2.0,0.1,3,0.0,0.0,False,True,l2,479.47477225,443.0
Wide Receiver,2014,8,rbf,2.0,0.1,3,0.0,0.0,False,True,l2,492.7276166,493.0
Wide Receiver,2014,9,rbf,2.0,0.1,3,0.0,0.0,False,True,l2,385.52647391,406.0
Wide Receiver,2014,10,rbf,2.0,0.1,3,0.0,0.0,False,True,l2,412.26699039,396.0
Wide Receiver,2014,2,rbf,2.25,0.1,3,0.0,0.0,False,True,l2,445.70969126,460.0
Wide Receiver,2014,3,rbf,2.25,0.1,3,0.0,0.0,False,True,l2,475.2606631,505.0
