Position,Year,Week,Kernel,C,Epsilon,Gamma,Norm,Computed Error,ESPN Error

** ONLY 2013 DATA (for training): varying C **
Wide Receiver,2014,3,rbf,100,0.0,40,l2,333.57807887,505.0
Wide Receiver,2014,4,rbf,100,0.0,40,l2,266.76020394,384.0
Wide Receiver,2014,5,rbf,100,0.0,40,l2,429.52279385,521.0
Wide Receiver,2014,6,rbf,100,0.0,40,l2,444.80607193,549.0
Wide Receiver,2014,7,rbf,100,0.0,40,l2,447.97883012,443.0
Wide Receiver,2014,8,rbf,100,0.0,40,l2,417.37789344,493.0
Wide Receiver,2014,9,rbf,100,0.0,40,l2,338.97271501,406.0
Wide Receiver,2014,10,rbf,100,0.0,40,l2,398.0037845,396.0
Wide Receiver,2014,2,rbf,100,0.0,50,l2,314.68655218,460.0
Wide Receiver,2014,3,rbf,100,0.0,50,l2,341.68503543,505.0
Wide Receiver,2014,4,rbf,100,0.0,50,l2,264.95429059,384.0
Wide Receiver,2014,5,rbf,100,0.0,50,l2,446.42535374,521.0
Wide Receiver,2014,6,rbf,100,0.0,50,l2,446.67589223,549.0
Wide Receiver,2014,7,rbf,100,0.0,50,l2,459.64521991,443.0
Wide Receiver,2014,8,rbf,100,0.0,50,l2,417.30677917,493.0
Wide Receiver,2014,9,rbf,100,0.0,50,l2,343.60512369,406.0
Wide Receiver,2014,10,rbf,100,0.0,50,l2,399.68145914,396.0
Wide Receiver,2014,2,rbf,100,0.0,100,l2,303.6997299,460.0
Wide Receiver,2014,3,rbf,100,0.0,100,l2,348.74950403,505.0
Wide Receiver,2014,4,rbf,100,0.0,100,l2,265.31664074,384.0
Wide Receiver,2014,5,rbf,100,0.0,100,l2,465.03985829,521.0
Wide Receiver,2014,6,rbf,100,0.0,100,l2,431.45027262,549.0
Wide Receiver,2014,7,rbf,100,0.0,100,l2,509.60748123,443.0
Wide Receiver,2014,8,rbf,100,0.0,100,l2,433.98539393,493.0
Wide Receiver,2014,9,rbf,100,0.0,100,l2,341.75099137,406.0
Wide Receiver,2014,10,rbf,100,0.0,100,l2,379.10932068,396.0
Wide Receiver,2014,2,rbf,100,0.0,1000,l2,406.86026331,460.0
Wide Receiver,2014,3,rbf,100,0.0,1000,l2,524.788394,505.0
Wide Receiver,2014,4,rbf,100,0.0,1000,l2,415.93029318,384.0
Wide Receiver,2014,5,rbf,100,0.0,1000,l2,565.56547838,521.0
Wide Receiver,2014,6,rbf,100,0.0,1000,l2,581.10832688,549.0
Wide Receiver,2014,7,rbf,100,0.0,1000,l2,611.96743596,443.0
Wide Receiver,2014,8,rbf,100,0.0,1000,l2,509.76118676,493.0
Wide Receiver,2014,9,rbf,100,0.0,1000,l2,420.43969499,406.0
Wide Receiver,2014,10,rbf,100,0.0,1000,l2,429.87777323,396.0


** WITH 2014 DATA: varying epsilon, C=100, gamma=7 **
Wide Receiver,2014,2,rbf,100,0.0,7.0,l2,312.55923719,460.0
Wide Receiver,2014,3,rbf,100,0.0,7.0,l2,312.86274683,505.0
Wide Receiver,2014,4,rbf,100,0.0,7.0,l2,257.52853607,384.0
Wide Receiver,2014,5,rbf,100,0.0,7.0,l2,406.62143792,521.0
Wide Receiver,2014,6,rbf,100,0.0,7.0,l2,438.66966544,549.0
Wide Receiver,2014,7,rbf,100,0.0,7.0,l2,436.30460767,443.0
Wide Receiver,2014,8,rbf,100,0.0,7.0,l2,422.77381743,493.0
Wide Receiver,2014,9,rbf,100,0.0,7.0,l2,340.56756785,406.0
Wide Receiver,2014,10,rbf,100,0.0,7.0,l2,386.66122162,396.0
Wide Receiver,2014,2,rbf,100,0.1,7.0,l2,317.03931327,460.0
Wide Receiver,2014,3,rbf,100,0.1,7.0,l2,316.97409377,505.0
Wide Receiver,2014,4,rbf,100,0.1,7.0,l2,257.30684907,384.0
Wide Receiver,2014,5,rbf,100,0.1,7.0,l2,409.22904382,521.0
Wide Receiver,2014,6,rbf,100,0.1,7.0,l2,440.61963289,549.0
Wide Receiver,2014,7,rbf,100,0.1,7.0,l2,437.81415165,443.0
Wide Receiver,2014,8,rbf,100,0.1,7.0,l2,425.12358536,493.0
Wide Receiver,2014,9,rbf,100,0.1,7.0,l2,342.64733945,406.0
Wide Receiver,2014,10,rbf,100,0.1,7.0,l2,388.60954992,396.0
Wide Receiver,2014,2,rbf,100,1.0.0,7.0,l2,371.53117219,460.0
Wide Receiver,2014,3,rbf,100,1.0.0,7.0,l2,353.94871711,505.0
Wide Receiver,2014,4,rbf,100,1.0.0,7.0,l2,247.59798688,384.0
Wide Receiver,2014,5,rbf,100,1.0.0,7.0,l2,445.84651795,521.0
Wide Receiver,2014,6,rbf,100,1.0.0,7.0,l2,485.36316663,549.0
Wide Receiver,2014,7,rbf,100,1.0.0,7.0,l2,476.74116452,443.0
Wide Receiver,2014,8,rbf,100,1.0.0,7.0,l2,468.24452226,493.0
Wide Receiver,2014,9,rbf,100,1.0.0,7.0,l2,372.7077954,406.0
Wide Receiver,2014,10,rbf,100,1.0.0,7.0,l2,427.40695302,396.0
Wide Receiver,2014,2,rbf,100,10.0,7.0,l2,1133.35256543,460.0
Wide Receiver,2014,3,rbf,100,10.0,7.0,l2,1050.19645469,505.0
Wide Receiver,2014,4,rbf,100,10.0,7.0,l2,399.52572717,384.0
Wide Receiver,2014,5,rbf,100,10.0,7.0,l2,1103.09513025,521.0
Wide Receiver,2014,6,rbf,100,10.0,7.0,l2,1055.77838679,549.0
Wide Receiver,2014,7,rbf,100,10.0,7.0,l2,1086.98889791,443.0
Wide Receiver,2014,8,rbf,100,10.0,7.0,l2,1107.69256651,493.0
Wide Receiver,2014,9,rbf,100,10.0,7.0,l2,933.5540648,406.0
