Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Wide Receiver,2014,8,140,uniform,l2,[ 462.03571429],493.0
Wide Receiver,2014,9,140,uniform,l2,[ 372.55714286],406.0
Wide Receiver,2014,10,140,uniform,l2,[ 424.47857143],396.0
Wide Receiver,2014,11,140,uniform,l2,[ 387.56428571],394.0
Wide Receiver,2014,2,150,uniform,l2,[ 327.33333333],460.0
Wide Receiver,2014,3,150,uniform,l2,[ 340.76666667],505.0
Wide Receiver,2014,4,150,uniform,l2,[ 262.42666667],384.0
Wide Receiver,2014,5,150,uniform,l2,[ 408.48],521.0
Wide Receiver,2014,6,150,uniform,l2,[ 460.42666667],549.0
Wide Receiver,2014,7,150,uniform,l2,[ 459.28],443.0
Wide Receiver,2014,8,150,uniform,l2,[ 463.19333333],493.0
Wide Receiver,2014,9,150,uniform,l2,[ 374.3],406.0
Wide Receiver,2014,10,150,uniform,l2,[ 424.30666667],396.0
Wide Receiver,2014,11,150,uniform,l2,[ 386.89333333],394.0
Wide Receiver,2014,2,160,uniform,l2,[ 327.6375],460.0
Wide Receiver,2014,3,160,uniform,l2,[ 343.075],505.0
Wide Receiver,2014,4,160,uniform,l2,[ 262.075],384.0
Wide Receiver,2014,5,160,uniform,l2,[ 407.59375],521.0
Wide Receiver,2014,6,160,uniform,l2,[ 461.05625],549.0
Wide Receiver,2014,7,160,uniform,l2,[ 457.225],443.0
Wide Receiver,2014,8,160,uniform,l2,[ 463.73125],493.0
Wide Receiver,2014,9,160,uniform,l2,[ 373.7125],406.0
Wide Receiver,2014,10,160,uniform,l2,[ 421.91875],396.0
Wide Receiver,2014,11,160,uniform,l2,[ 388.],394.0
Wide Receiver,2014,2,170,uniform,l2,[ 331.05294118],460.0
Wide Receiver,2014,3,170,uniform,l2,[ 344.81176471],505.0
Wide Receiver,2014,4,170,uniform,l2,[ 261.55294118],384.0
Wide Receiver,2014,5,170,uniform,l2,[ 407.7],521.0
Wide Receiver,2014,6,170,uniform,l2,[ 461.84705882],549.0
Wide Receiver,2014,7,170,uniform,l2,[ 457.86470588],443.0
Wide Receiver,2014,8,170,uniform,l2,[ 464.58235294],493.0
Wide Receiver,2014,9,170,uniform,l2,[ 376.08823529],406.0
Wide Receiver,2014,10,170,uniform,l2,[ 420.86470588],396.0
Wide Receiver,2014,11,170,uniform,l2,[ 388.26470588],394.0
Wide Receiver,2014,2,180,uniform,l2,[ 332.2],460.0
Wide Receiver,2014,3,180,uniform,l2,[ 345.86666667],505.0
Wide Receiver,2014,4,180,uniform,l2,[ 261.32222222],384.0
Wide Receiver,2014,5,180,uniform,l2,[ 409.24444444],521.0
Wide Receiver,2014,6,180,uniform,l2,[ 462.32222222],549.0
Wide Receiver,2014,7,180,uniform,l2,[ 457.53888889],443.0
Wide Receiver,2014,8,180,uniform,l2,[ 461.53888889],493.0
Wide Receiver,2014,9,180,uniform,l2,[ 376.08888889],406.0
Wide Receiver,2014,10,180,uniform,l2,[ 419.30555556],396.0
Wide Receiver,2014,11,180,uniform,l2,[ 386.14444444],394.0
Wide Receiver,2014,2,190,uniform,l2,[ 335.13684211],460.0
