Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Quarterback,2014,11,150,uniform,l2,[ 268.26666667],158.0
Quarterback,2014,2,160,uniform,l2,[ 154.175],188.0
Quarterback,2014,3,160,uniform,l2,[ 182.30625],227.0
Quarterback,2014,4,160,uniform,l2,[ 163.39375],163.0
Quarterback,2014,5,160,uniform,l2,[ 240.125],209.0
Quarterback,2014,6,160,uniform,l2,[ 230.85625],237.0
Quarterback,2014,7,160,uniform,l2,[ 215.38125],197.0
Quarterback,2014,8,160,uniform,l2,[ 280.14375],226.0
Quarterback,2014,9,160,uniform,l2,[ 237.725],180.0
Quarterback,2014,10,160,uniform,l2,[ 244.83125],157.0
Quarterback,2014,11,160,uniform,l2,[ 268.2125],158.0
Quarterback,2014,2,170,uniform,l2,[ 154.77058824],188.0
Quarterback,2014,3,170,uniform,l2,[ 185.22941176],227.0
Quarterback,2014,4,170,uniform,l2,[ 164.84705882],163.0
Quarterback,2014,5,170,uniform,l2,[ 241.06470588],209.0
Quarterback,2014,6,170,uniform,l2,[ 231.51764706],237.0
Quarterback,2014,7,170,uniform,l2,[ 214.67058824],197.0
Quarterback,2014,8,170,uniform,l2,[ 279.46470588],226.0
Quarterback,2014,9,170,uniform,l2,[ 237.77647059],180.0
Quarterback,2014,10,170,uniform,l2,[ 246.72352941],157.0
Quarterback,2014,11,170,uniform,l2,[ 267.8],158.0
Quarterback,2014,2,180,uniform,l2,[ 156.01666667],188.0
Quarterback,2014,3,180,uniform,l2,[ 188.22777778],227.0
Quarterback,2014,4,180,uniform,l2,[ 164.81111111],163.0
Quarterback,2014,5,180,uniform,l2,[ 241.81666667],209.0
Quarterback,2014,6,180,uniform,l2,[ 232.47777778],237.0
Quarterback,2014,7,180,uniform,l2,[ 214.42777778],197.0
Quarterback,2014,8,180,uniform,l2,[ 281.56111111],226.0
Quarterback,2014,9,180,uniform,l2,[ 237.81666667],180.0
Quarterback,2014,10,180,uniform,l2,[ 246.52777778],157.0
Quarterback,2014,11,180,uniform,l2,[ 269.02777778],158.0
Quarterback,2014,2,190,uniform,l2,[ 156.46315789],188.0
Quarterback,2014,3,190,uniform,l2,[ 190.51578947],227.0
Quarterback,2014,4,190,uniform,l2,[ 166.12631579],163.0
Quarterback,2014,5,190,uniform,l2,[ 241.49473684],209.0
